article_index,section_name,group_name,item_name,item_chips,item_desc,item_stats,image_index,image_role,phase_index,phase_label,image_alt,image_title,image_path,image_url,duplicate_index,local_path,download_status
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·风信子,,plant/model/v4/gold/Crop_112_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_6.png,1,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_00_主图.png,downloaded
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_112_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_Seed.png,1,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_01_第1阶段.png,downloaded
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_112_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_2.png,2,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_02_第2阶段.png,downloaded
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_112_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_3.png,3,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_03_第3阶段.png,downloaded
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_112_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_4.png,4,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_04_第4阶段.png,downloaded
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_112_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_5.png,5,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_05_第5阶段.png,downloaded
11,超变图鉴,黄金果实,黄金·风信子,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_112_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_6.png,6,超变图鉴/黄金果实/黄金·风信子/黄金·风信子_06_第6阶段.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·银杏树苗,,plant/model/v4/gold/Crop_25_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_6.png,1,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_00_主图.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_25_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_Seed.png,1,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_01_第1阶段.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_25_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_2.png,2,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_02_第2阶段.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_25_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_3.png,3,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_03_第3阶段.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_25_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_4.png,4,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_04_第4阶段.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_25_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_5.png,5,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_05_第5阶段.png,downloaded
12,超变图鉴,黄金果实,黄金·银杏树苗,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_25_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_6.png,6,超变图鉴/黄金果实/黄金·银杏树苗/黄金·银杏树苗_06_第6阶段.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·蔷薇,,plant/model/v4/gold/Crop_121_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_6.png,1,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_00_主图.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_121_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_Seed.png,1,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_01_第1阶段.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_121_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_2.png,2,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_02_第2阶段.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_121_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_3.png,3,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_03_第3阶段.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_121_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_4.png,4,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_04_第4阶段.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_121_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_5.png,5,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_05_第5阶段.png,downloaded
13,超变图鉴,黄金果实,黄金·蔷薇,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_121_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_6.png,6,超变图鉴/黄金果实/黄金·蔷薇/黄金·蔷薇_06_第6阶段.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·蝴蝶兰,,plant/model/v4/gold/Crop_109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_6.png,1,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_00_主图.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_109_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_Seed.png,1,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_01_第1阶段.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_109_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_2.png,2,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_02_第2阶段.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_109_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_3.png,3,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_03_第3阶段.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_109_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_4.png,4,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_04_第4阶段.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_109_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_5.png,5,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_05_第5阶段.png,downloaded
14,超变图鉴,黄金果实,黄金·蝴蝶兰,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_6.png,6,超变图鉴/黄金果实/黄金·蝴蝶兰/黄金·蝴蝶兰_06_第6阶段.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·艾草,,plant/model/v4/gold/Crop_1135_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_6.png,1,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_00_主图.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_1135_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_Seed.png,1,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_01_第1阶段.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_1135_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_2.png,2,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_02_第2阶段.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_1135_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_3.png,3,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_03_第3阶段.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_1135_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_4.png,4,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_04_第4阶段.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_1135_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_5.png,5,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_05_第5阶段.png,downloaded
15,超变图鉴,黄金果实,黄金·艾草,+40,卖给商人后，可以获得金豆豆。,基础经验:720 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_1135_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_6.png,6,超变图鉴/黄金果实/黄金·艾草/黄金·艾草_06_第6阶段.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·卡特兰,,plant/model/v4/gold/Crop_184_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_6.png,1,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_00_主图.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_184_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_Seed.png,1,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_01_第1阶段.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_184_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_2.png,2,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_02_第2阶段.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_184_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_3.png,3,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_03_第3阶段.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_184_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_4.png,4,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_04_第4阶段.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_184_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_5.png,5,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_05_第5阶段.png,downloaded
16,超变图鉴,黄金果实,黄金·卡特兰,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_184_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_6.png,6,超变图鉴/黄金果实/黄金·卡特兰/黄金·卡特兰_06_第6阶段.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·红云飞片,,plant/model/v4/gold/Crop_193_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_6.png,1,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_00_主图.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_193_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_Seed.png,1,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_01_第1阶段.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_193_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_2.png,2,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_02_第2阶段.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_193_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_3.png,3,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_03_第3阶段.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_193_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_4.png,4,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_04_第4阶段.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_193_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_5.png,5,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_05_第5阶段.png,downloaded
17,超变图鉴,黄金果实,黄金·红云飞片,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_193_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_6.png,6,超变图鉴/黄金果实/黄金·红云飞片/黄金·红云飞片_06_第6阶段.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·石竹花,,plant/model/v4/gold/Crop_256_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_6.png,1,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_00_主图.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_256_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_Seed.png,1,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_01_第1阶段.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,3,phase,2,第2阶段,第2阶段,,plant/model/v4/gold/Crop_256_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_2.png,2,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_02_第2阶段.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,4,phase,3,第3阶段,第3阶段,,plant/model/v4/gold/Crop_256_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_3.png,3,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_03_第3阶段.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,5,phase,4,第4阶段,第4阶段,,plant/model/v4/gold/Crop_256_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_4.png,4,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_04_第4阶段.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,6,phase,5,第5阶段,第5阶段,,plant/model/v4/gold/Crop_256_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_5.png,5,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_05_第5阶段.png,downloaded
18,超变图鉴,黄金果实,黄金·石竹花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,7,phase,6,第6阶段,第6阶段,,plant/model/v4/gold/Crop_256_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_6.png,6,超变图鉴/黄金果实/黄金·石竹花/黄金·石竹花_06_第6阶段.png,downloaded
19,超变图鉴,黄金果实,黄金·针垫花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,1,main,,,黄金·针垫花,,plant/model/v4/gold/Crop_261_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_261_6.png,1,超变图鉴/黄金果实/黄金·针垫花/黄金·针垫花_00_主图.png,downloaded
19,超变图鉴,黄金果实,黄金·针垫花,+40,卖给商人后，可以获得金豆豆。,基础经验:1440 | 基础果实:10个 | 果实单价:— | 图鉴点数:40,2,phase,1,第1阶段,第1阶段,,plant/model/v4/gold/Crop_261_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_261_Seed.png,1,超变图鉴/黄金果实/黄金·针垫花/黄金·针垫花_01_第1阶段.png,downloaded
