level,name,seed_id,crop_id,asset_name,rarity,seasons,land_level_need,exp,fruit_id,fruit_count,phase_count,phase_names,thumb,grow_phases
22,豌豆,20008,1020008,Crop_8,1,1,1,608,40008,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_8_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;初熟:5760;成熟:0;
23,莲藕,20037,1020037,Crop_37,1,1,1,912,40037,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_37_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;开花:8640;成熟:0;
24,红玫瑰,20041,1020041,Crop_41,1,1,1,1824,40041,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_41_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;初熟:17280;成熟:0;
25,秋菊（黄色）,20161,1020161,Crop_161,1,1,1,324,40161,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_161_Seed.png,种子:2880;发芽:2880;小叶子:2880;大叶子:2880;花蕾:2880;盛开:0;
26,满天星,20110,1020110,Crop_110,1,1,1,648,40110,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_110_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;花蕾:5760;盛开:0;
27,含羞草,20143,1020143,Crop_143,1,1,1,972,40143,200,7,种子|发芽|小叶子|大叶子|花蕾|盛开|成熟,plant/model/v4/Crop_143_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:7200;花蕾:7200;盛开:7200;成熟:0;
28,牵牛花,20147,1020147,Crop_147,1,1,1,1944,40147,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_147_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;花蕾:17280;盛开:0;
29,秋菊（红色）,20162,1020162,Crop_162,1,1,1,344,40162,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_162_Seed.png,种子:2880;发芽:2880;小叶子:2880;大叶子:2880;花蕾:2880;盛开:0;
30,辣椒,20009,1020009,Crop_9,1,1,1,688,40009,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_9_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;初熟:5760;成熟:0;
30,新春红包,21542,1021542,Crop_1542,1,1,1,688,41542,20,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_1542_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;初熟:5760;成熟:0;
31,黄瓜,20097,1020097,Crop_97,1,1,1,1032,40097,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_97_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;开花:8640;成熟:0;
31,哈哈南瓜,20416,1020416,Crop_416,4,1,1,15360,49002,10,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_416_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;开花:17280;成熟:0;
32,芹菜,20306,1020306,Crop_306,1,1,1,2064,40306,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_306_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;初熟:17280;成熟:0;
33,天香百合,20103,1020103,Crop_103,1,1,1,368,40103,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_103_Seed.png,种子:2880;发芽:2880;小叶子:2880;大叶子:2880;初熟:2880;成熟:0;
34,南瓜,20010,1020010,Crop_10,1,1,1,736,40010,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_10_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;初熟:5760;成熟:0;
35,核桃,20308,1020308,Crop_308,1,1,1,1104,40308,200,5,种子|发芽|小叶子|大叶子|成熟,plant/model/v4/Crop_308_Seed.png,种子:10800;发芽:10800;小叶子:10800;大叶子:10800;成熟:0;
36,山楂,20091,1020091,Crop_91,1,1,1,2208,40091,200,7,种子|发芽|小叶子|大叶子|开花|初熟|成熟,plant/model/v4/Crop_91_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:14400;开花:14400;初熟:14400;成熟:0;
37,菠菜,20073,1020073,Crop_73,1,1,1,392,40073,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_73_Seed.png,种子:2880;发芽:2880;小叶子:2880;大叶子:2880;初熟:2880;成熟:0;
38,草莓,20001,1020001,Crop_1,1,1,1,784,40001,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_1_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;开花:5760;成熟:0;
39,苹果,20011,1020011,Crop_11,1,1,1,1176,40011,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_11_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;开花:8640;成熟:0;
40,四叶草,20062,1020062,Crop_62,1,1,1,2352,40062,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_62_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;初熟:17280;成熟:0;
41,非洲菊,20104,1020104,Crop_104,1,1,1,420,40104,200,7,种子|发芽|小叶子|大叶子|花蕾|盛开|成熟,plant/model/v4/Crop_104_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:2400;花蕾:2400;盛开:2400;成熟:0;
41,孔雀草,20257,1020257,Crop_257,3,1,1,1680,40257,48,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_257_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;花蕾:8640;盛开:0;
41,欧石楠,20258,1020258,Crop_258,3,1,1,1680,40258,48,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_258_Seed.png,种子:8640;发芽:8640;小叶:8640;大叶:8640;花蕾:8640;开花:0;
42,火绒草,20135,1020135,Crop_135,1,1,1,840,40135,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_135_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;花蕾:5760;盛开:0;
43,花香根鸢尾,20141,1020141,Crop_141,1,1,1,1260,40141,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_141_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;花蕾:8640;盛开:0;
44,虞美人,20142,1020142,Crop_142,1,1,1,2520,40142,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_142_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;花蕾:17280;盛开:0;
45,向日葵,20145,1020145,Crop_145,1,1,1,448,40145,200,7,种子|发芽|小叶子|大叶子|开花|初熟|成熟,plant/model/v4/Crop_145_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:2400;开花:2400;初熟:2400;成熟:0;
46,西瓜,20014,1020014,Crop_14,1,1,1,896,40014,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_14_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;开花:5760;成熟:0;
47,黄豆,20070,1020070,Crop_70,1,1,1,1344,40070,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_70_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;初熟:8640;成熟:0;
48,香蕉,20015,1020015,Crop_15,1,1,1,2688,40015,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_15_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;开花:17280;成熟:0;
49,竹笋,20100,1020100,Crop_100,1,1,1,476,40100,200,6,种子|发芽|幼苗|伸长|初熟|成熟,plant/model/v4/Crop_100_Seed.png,种子:2880;发芽:2880;幼苗:2880;伸长:2880;初熟:2880;成熟:0;
50,桃子,20018,1020018,Crop_18,1,1,1,952,40018,200,6,种子|发芽|开花|小叶子|大叶子|成熟,plant/model/v4/Crop_18_Seed.png,种子:5760;发芽:5760;开花:5760;小叶子:5760;大叶子:5760;成熟:0;
51,甘蔗,20047,1020047,Crop_47,1,1,1,1428,40047,200,6,种子|发芽|幼苗|分叶|伸长|成熟,plant/model/v4/Crop_47_Seed.png,种子:8640;发芽:8640;幼苗:8640;分叶:8640;伸长:8640;成熟:0;
52,橙子,20019,1020019,Crop_19,1,1,1,2856,40019,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_19_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;开花:17280;成熟:0;
53,茉莉花,20128,1020128,Crop_128,1,1,1,508,40128,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_128_Seed.png,种子:2880;发芽:2880;小叶子:2880;大叶子:2880;花蕾:2880;盛开:0;
54,葡萄,20013,1020013,Crop_13,1,1,1,1016,40013,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_13_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;开花:5760;成熟:0;
55,丝瓜,20044,1020044,Crop_44,1,1,1,1524,40044,200,6,种子|长枝|开花|小叶子|大叶子|结果,plant/model/v4/Crop_44_Seed.png,种子:8640;长枝:8640;开花:8640;小叶子:8640;大叶子:8640;结果:0;
56,榛子,20072,1020072,Crop_72,1,1,1,3048,40072,200,6,种子|发芽|开花|小叶子|大叶子|成熟,plant/model/v4/Crop_72_Seed.png,种子:17280;发芽:17280;开花:17280;小叶子:17280;大叶子:17280;成熟:0;
57,迎春花,20396,1020396,Crop_396,1,1,1,540,40396,200,6,种子|幼芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_396_Seed.png,种子:2880;幼芽:2880;小叶:2880;大叶:2880;花蕾:2880;开花:0;
58,石榴,20023,1020023,Crop_23,1,1,1,1080,40023,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_23_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;开花:5760;成熟:0;
59,栗子,20095,1020095,Crop_95,1,1,1,1620,40095,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_95_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;开花:8640;成熟:0;
60,柚子,20026,1020026,Crop_26,1,1,1,3240,40026,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_26_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;开花:17280;成熟:0;
61,蘑菇,20050,1020050,Crop_50,1,2,1,429,40050,200,5,种子|发芽|大叶子|初熟|成熟,plant/model/v4/Crop_50_Seed.png,种子:3600;发芽:3600;大叶子:3600;初熟:3600;成熟:0;
62,菠萝,20027,1020027,Crop_27,1,2,1,858,40027,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_27_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;开花:7200;成熟:0;
63,箬竹,20036,1020036,Crop_36,1,2,1,1287,40036,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_36_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;初熟:10800;成熟:0;
64,无花果,20043,1020043,Crop_43,1,2,1,2574,40043,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_43_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;开花:21600;成熟:0;
65,椰子,20029,1020029,Crop_29,1,2,1,456,40029,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_29_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;初熟:3600;成熟:0;
66,花生,20049,1020049,Crop_49,1,2,1,912,40049,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_49_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;初熟:7200;成熟:0;
67,金针菇,20052,1020052,Crop_52,1,2,1,1368,40052,200,6,种子|发菌|出菇|幼菇|初熟|成熟,plant/model/v4/Crop_52_Seed.png,种子:7200;发菌:7200;出菇:7200;幼菇:10800;初熟:10800;成熟:0;
68,葫芦,20031,1020031,Crop_31,1,2,1,2736,40031,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_31_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;初熟:21600;成熟:0;
69,猕猴桃,20045,1020045,Crop_45,1,2,1,480,40045,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_45_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;开花:3600;成熟:0;
70,梨,20054,1020054,Crop_54,1,2,1,960,40054,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_54_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;初熟:7200;成熟:0;
71,睡莲,20442,1020442,Crop_442,1,2,1,1440,40442,200,6,种子|发芽|小叶子|大叶子|幼株|成熟,plant/model/v4/Crop_442_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;幼株:10800;成熟:0;
72,火龙果,20033,1020033,Crop_33,1,2,1,2880,40033,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_33_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;初熟:21600;成熟:0;
73,枇杷,20055,1020055,Crop_55,1,2,1,510,40055,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_55_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;初熟:3600;成熟:0;
74,樱桃,20034,1020034,Crop_34,1,2,1,1020,40034,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_34_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;开花:7200;成熟:0;
75,李子,20413,1020413,Crop_413,1,2,1,1530,40413,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_413_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;开花:10800;成熟:0;
76,荔枝,20035,1020035,Crop_35,1,2,1,3060,40035,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_35_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;开花:21600;成熟:0;
77,香瓜,20067,1020067,Crop_67,1,2,1,537,40067,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_67_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;开花:3600;成熟:0;
78,木瓜,20038,1020038,Crop_38,1,2,1,1074,40038,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_38_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;开花:7200;成熟:0;
79,桂圆,20053,1020053,Crop_53,1,2,1,1611,40053,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_53_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;开花:10800;成熟:0;
80,月柿,20080,1020080,Crop_80,1,2,1,3222,40080,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_80_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;开花:21600;成熟:0;
81,杨桃,20039,1020039,Crop_39,1,2,1,567,40039,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_39_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;开花:3600;成熟:0;
81,黄金果,20304,1020304,Crop_304,3,1,1,1680,40304,48,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_304_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;开花:8640;成熟:0;
82,哈密瓜,20056,1020056,Crop_56,1,2,1,1134,40056,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_56_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;开花:7200;成熟:0;
83,桑葚,20075,1020075,Crop_75,1,2,1,1701,40075,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_75_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;开花:10800;成熟:0;
84,柠檬,20042,1020042,Crop_42,1,2,1,3402,40042,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_42_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;初熟:21600;成熟:0;
85,芒果,20057,1020057,Crop_57,1,2,1,597,40057,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_57_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;初熟:3600;成熟:0;
86,杨梅,20048,1020048,Crop_48,1,2,1,1194,40048,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_48_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;开花:7200;成熟:0;
87,榴莲,20058,1020058,Crop_58,1,2,1,1791,40058,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_58_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;开花:10800;成熟:0;
88,番石榴,20079,1020079,Crop_79,1,2,1,3582,40079,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_79_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;开花:21600;成熟:0;
89,瓶子树,20218,1020218,Crop_218,1,2,1,627,40218,200,6,种子|长枝|小叶子|大叶子|初熟|成树,plant/model/v4/Crop_218_Seed.png,种子:2400;长枝:2400;小叶子:2400;大叶子:3600;初熟:3600;成树:0;
90,蓝莓,20077,1020077,Crop_77,1,2,1,1254,40077,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_77_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;初熟:7200;成熟:0;
91,猪笼草,20220,1020220,Crop_220,1,2,1,1881,40220,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_220_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;初熟:10800;成熟:0;
92,山竹,20076,1020076,Crop_76,1,2,1,3762,40076,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_76_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;开花:21600;成熟:0;
93,曼陀罗华,20116,1020116,Crop_116,1,2,1,660,40116,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_116_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;花蕾:3600;盛开:0;
94,曼珠沙华,20126,1020126,Crop_126,1,2,1,1320,40126,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_126_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;初熟:7200;成熟:0;
95,苦瓜,20063,1020063,Crop_63,1,2,1,1980,40063,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_63_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;开花:10800;成熟:0;
96,天堂鸟,20221,1020221,Crop_221,1,2,1,3960,40221,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_221_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;花蕾:21600;盛开:0;
97,冬瓜,20068,1020068,Crop_68,1,2,1,693,40068,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_68_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;开花:3600;成熟:0;
98,豹皮花,20222,1020222,Crop_222,1,2,1,1386,40222,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_222_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;花蕾:7200;盛开:0;
99,杏子,20078,1020078,Crop_78,1,2,1,2079,40078,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_78_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;初熟:10800;成熟:0;
100,金桔,20074,1020074,Crop_74,1,2,1,4158,40074,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_74_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;初熟:21600;成熟:0;
102,红毛丹,20083,1020083,Crop_83,1,2,1,726,40083,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_83_Seed.png,种子:2400;发芽:2400;小叶子:2400;大叶子:3600;初熟:3600;成熟:0;
152,宝华玉兰,20225,1020225,Crop_225,1,2,1,1890,40225,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_225_Seed.png,种子:4800;发芽:4800;小叶子:4800;大叶子:7200;花蕾:7200;盛开:0;
106,芭蕉,20084,1020084,Crop_84,1,2,1,2178,40084,200,6,种子|发芽|小叶子|大叶子|开花|结果,plant/model/v4/Crop_84_Seed.png,种子:7200;发芽:7200;小叶子:7200;大叶子:10800;开花:10800;结果:0;
108,依米花,20226,1020226,Crop_226,1,2,1,4356,40226,200,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_226_Seed.png,种子:14400;发芽:14400;小叶子:14400;大叶子:21600;花蕾:21600;盛开:0;
